Nama,Sentimen,Ulasan
HRC HeRue Channel (Kajian Muslim),Positif,"Mampir dulu, Main ke JIS"
hsnrf,Positif,"gua bukan orang Jakarta juga bukan the Jak tapi nih stadion, masyaallah indah banget"
hufftt,Negatif,buat konser apa nihh
hugyk76,Positif,GW YAKIN BANGUN STADION ITU GA CUKUP 50 RIBU
humannn,Negatif,blackpink knpa ga konser dsni aja🤭
Hur___culez_,Positif,Argentina vs Indonesia.. cocok main di sini
Huzaifah Jazmi,Positif,"Stadion yang Luar Biasa dan Termegah di Indonesia,"
huzaifahfahmi,Negatif,tuh mas saya bantu lihatin ya
HzHJmL,Negatif,Kameramennya jangan dari indosiar.. 🥺
I LOVE YOU,Negatif,oelah mau kesitu aja macet parah
i wayan Budhi Gunadi,Positif,Stadionnya megah dan baru. Sayang aksesnya sulit dan kendaraan umum terbatas. Masih perlu banyak perbaikan infrastruktur penunjang.
ｓａｄ ｎｉｇｈｔ,Negatif,masalahnya yang ada lapangan larinya aja masih sering yang supporter yang nerobos apalagi gaada
ｎｄｒｉｋａ࿐,Negatif,"jadi tuan rumah piala Dunia u20 tapi nggk ada var, gmna ini 🤦‍♂️🤦‍♂️"
Iam it's only human-,Positif,mirip stadion spurs
iamdaviiddd,Negatif,Ini stadion apa konser musik ya(?) 😅
ian ian,Positif,Tempat nya nyaman & strategis
Ian Melenoy,Positif,"Inti nya harus di rawat, dan masyarakat juga harus ikut merawat dengan cara Jagan di coret2 dan di rusak klw sudah menonton"
IB,Positif,"Begini bagusnya stadion ini.kalao ad yg kurang dan buruk,yg kurang dan buruk itu panitia penyelenggara suatu event yg diadakan acara tersebut"
Ibas,Negatif,Udah standart fifa tapi belum standart pssi😂
Ibenz,Negatif,dron naik comentator bhs Inggris itu impian yg pudar
Ibnu Abas,Positif,Ok tempatnya
ibnu fahry,Positif,Stadion bertaraf international yang ada didaerah jakarta utara kerenn
Ibnu Susanto,Positif,"Terakhir datang kemari tanggal 8 Januari 2022, masih dalam proses pengerjaan mungkin yg sudah bisa di gunakan adalah lapangan latihan bukan lapangan utama"
ibnufajar1274,Negatif,A.C.A.B
ibnuhafizd642,Positif,terima kasih pak jokowi
ibra,Negatif,warna kursinya sih kureng
Ibrahim Alfian,Positif,Bagus
ica nigrunm,Negatif,coba letaknya di pusat kota
icaaa,Positif,keren bangeeeeet
icanfd,Negatif,Fungsi stadion ini jadi candi aja ntr
Icha Muflikhah,Positif,Bagus banget tribun nya dan luarnya itu loh seperti stadion masa depan
Ichax_Official^•^,Positif,Pasti kayanya itu buat piala dunia ya
icko_bass⛎,Negatif,kok gada lintasan lari nya?
Ida Cuantiq,Positif,Tempatnya luas enak bt kunjung sm kelg. Kurang perawatan. Smg k dpn nya lbh ok lg...
Ida Widia,Positif,Hanya orang bodoh yang tidak bisa memanfaatkan fasilitas yang megah seperti JIS
idaman mu,Negatif,baru aja di bangun itu stadion malah pildun nggk jadi
IdamanMertua,Negatif,cek rumput terkini masih ancur apa udh bagus
Idham Arrasyid,Negatif,Stadion elit akses sulit. Semoga kedepannya akses transportasi lebih mudah dan parkiran luas.
idjust wae,Positif,"Alhamdulillah udah pernah main di stadion utama nya,mantapp class internasional udah,yng bilang blom layak Rabun mata'nya atau kotokan😅😅😅😅😅"
idrisochi,Positif,anjirr keren abisss.. lbih cntik ni dari pada alianz arena
샤룰,Negatif,standar pssi itu yg kayak lumpur dulu 😅
Ifan Hamzah Fansuri,Negatif,Sudah jadi...tp masih banyak yg harus finishing..
ifn x,Negatif,parkiran 💀
iG toyota_jabodetabek.official,Negatif,Tetap GBK yg Nomer 1 di INDONESIA
Ihar Irham,Positif,ya udah tinggal di manfaatkan jangan di anggurin...gunakan sesuai dengan fungsinya
IhsanJBI,Positif,mantap gebernurnya setuju lanjut jdi presiden pak Anis.
Ihwan,Negatif,PSI tapi tidak memasukan nya dalam Lapangan standar Mereka alasanya minim lapangan parkir
Iied “Iid” Mooy,Positif,Keren...
iiim_cko,Negatif,knpa jadi ngelawak yak 😂
iin alief,Positif,"Masih tergolong baru, jadi masih cukup bagus. Tapi kaya nya ketersediaan air untuk toilet nya kurang deh kalo untuk kapasitas segitu gede."
Ijulputrariau,Positif,jis mirip stadion lusail.
Ika Ayuningtias,Negatif,"Stadionnya bagus, tapi kebersihannya masih kurang, terutama WC. Jalan sekitaran stadion gersang dan banyak sampah"
ikbal_hoffman,Negatif,"Stadion di Jakarta cuma buat konser doang sama politik ,kalo buat sepak bola alasannya banyak"
IKE Anggraini,Positif,Luar biasa menyenangakan sekali ..suami bisa maen bola di sini
ikha azma,Positif,"Keren sih stadionnya,cuma sayang pas kesana lagi ga bisa masuk"
Ikhwanul Muslim,Positif,Stadion Ini Luar BiasaaaaaaTerima kasih atas kesempatan kunjungannya
ikmalalif_54,Negatif,Jakarta konser stadium
IKRAM OFFICIAL,Positif,Terbaik
ikram_photography,Positif,Mantab.
Ikrar sulthan Akbar,Negatif,stadion ga terpakai akibat unsur politik✌️
Iksan Ramadhan,Positif,"keren sih ini,apa lagi kalo malem"
IKY,Negatif,karyawan kerja nya gmn d bayar ga😂
ilam sarimin,Positif,"mewah sekali ,sayang gak standart fifa😂 dagelan"
ilhaaaam.19,Negatif,Ohhh gunaNya stadion itu selama ini untuk konser?
Ilham Hidayat,Positif,mantap stadionnya persija
Ilham Hidayat,Positif,mantap stadionnya
Ilham Milanisti 19,Positif,"mantaps emang proyek pak Jokowi dr MRT, Mandalika, stadion, formula e dll mntaps emang makin pesat Indonesia"
Ilham Nurdin,Positif,Keren sekali....
ilhamdisokin,Negatif,"Konser elite, buat bola sulit"
ilhamzuhdi97,Positif,"Mulai jadi pertanyaan besar bagi Jakmania , gagal gelar pertandingan besar tapi konser berjalan...?????!!"
ilkam muhammad,Positif,"di bikin gara"" Persija juara"
illyass.a_,Negatif,Dah lah rubuhin lagi aja dari pada enggak d ijinin untuk Persija atau timnas main d JIS ??
ilman,Negatif,warna kursi abu2 malah jadi kelihatan belum rampung std nya wkwk
Ilyas Qadafi,Positif,Luarbiasa megah
I'm A Mess.,Positif,aku mohon buat penonton selalu jaga kebersihan dan selalu di jaga fasilitas nya jugaa yaa pliss🙏😢
I'm Boot,Positif,asal jngn di rusak aja sih:)
Im fine,Negatif,bukannya kena hukum fifa
I'm fine🥀,Negatif,rumput nya kek rumput tarkam
I'm yours,Negatif,tapi ambruk😂
i'm.sung🕊️,Positif,yang kebayang Ama w malah duduk di tengah² kursi bareng army pas bts ke indo huhu 😅
Imaginary Sl,Positif,😭nangis banget kenapa stadion semegah ini tdk digunakan utk pertandingan kancah internasional
Imam Ansori,Positif,Vibes nya Kaya world cup kerennn
Imam Hanafi,Positif,Karena tempat baru masih gersang kalau siang terik pepohonannya banyak namun masih kecil kecil
Imam Ramadhan,Positif,Bangga banget Indonesia punya JIS
Imam Sudarto Chanel,Positif,"Mantappp,"
Imamkurniawan 26,Positif,Untuk lapangan latihan mantap.. ruang ganti bersih..
Iman Satria Rasyid,Negatif,Aksesnya sad banget
iman vidaman,Positif,Stadion kelas dunia
Imanuel,Positif,pengen nonton kesini deh jirr😂😂
Imbong Hasbullah,Positif,kemarin menjadi saksi sejarah peresmian stadion kebanggaan kota jakarta.....kereeeen...semoga terawat terus
immrfi,Negatif,buat main kelereng aja bang oke kenya
Ina Ndutz,Positif,Indonesia Punya🥰🥰🥰🥰
Inayatul Kubroa,Positif,Takjub
Indah Endang S Purba,Positif,Secara keseluruhan stadium ini bagus.. tapi toiletnya tidak ada tong sampah dan becek parah sehingga terlihat kotor n jorok..
Indah Endang S. Purba,Positif,Secara keseluruhan stadium ini bagus.. tapi toiletnya tidak ada tong sampah dan becek parah sehingga terlihat kotor n jorok..
Indah Joink,Positif,"Keren banget dah  , terimakasih pak anies , akhirnya punya Lapangan keren"
Indah4121,Positif,yuk bisa yuk dijaga kebersihan n keindahan stadium 👍🤗
indahinangs,Negatif,"Ribet bat yg komplen""😂"
indomi,Negatif,bangun elit lahan parkir sulit😅
Indonesia jaya  🇮🇩🇮🇩🇮🇩,Negatif,"gak ke pake 😅,, GBK akan sambut Lionel Messi dkk 😅😅"
INDONESIAN,Positif,aku cuma berharap indonesia masuk piala dunia😡. apa itu pssi
INDOPRIDE🇮🇩,Negatif,stadion yang belum standar
INDOPRIDE🇮🇩,Negatif,"standar PSSI kan stadion becek"", betul tidak kawan?😅"
Indra Ahbay,Positif,Megah...bangga kita punya stadion kelas Dunia..
Indra AUTO TV,Negatif,STADION nya Harus di Buat Sebagus Mungkin SEPAK BOLA INDONESIA MENUJU DUNIA 💯😇😇 Jangan Nanggung2 PAK JOKOWI
Indra Indra,Positif,"Keren banget, bangga jadi warga DKI Jakarta"
Indra Kllms Jack-kut,Positif,kerenn
Indra Riswanto,Positif,"Lokasi strategis, tinggal kasih stasiun KRL lebih bagus lg, fasilitas di JIS bagus modern stadionnya"
Indra Sutedja Dwiwangsa,Positif,Nyaman didalam
indra_saiga,Negatif,klok menurutku kamera pengaruh sih😂😂
Indra1288,Negatif,kapan lah di gunakan untuk main bola
Indriani Nurharti,Positif,"Bazar UMKMnya enak-enak. Senam setiap hari minggu disini seru dan ada doorprizenya. Sehatnya dapat, hadiahnya dapat dan bisa jajan produk UMKM enak disini. Ayo ramai-ramai olahraga di JIS"
indyrahma_,Negatif,dahlah payah
Info DKI Jakarta,Positif,"Keren sih, tanpa lintasan atletic gitu loh. Siap2 aja jadi rebutan, hukum yang berat buat yang merusak. Terima kasih pak gubernur anies baswedan yang sufah mengizinkan kelurahan munjul nanem pohon di sekitar JIS"
Ini Beta,Positif,Aku Bangga Jadi anak Indonesia ♥️
iniadittloh,Negatif,ada var nya ga?
InisialC,Negatif,ada Var kah?
Intan Puji,Negatif,"Bismillah yuk jadi yuk, biar Bangtan bisa konser disini, dan bukan wacana :))"
intannheni,Negatif,"Saya ada 1 tiket wristband silver barat, kalau minat bisa dm"
inyonk M Pro,Positif,"Tempat yg sangat kereen, menambah megah kota Jakarta. Bravo..."
ﺭ,Negatif,Nanti buat nonton twice 😁
I-one Hero,Positif,Keren..Pertama KALI masuk 25 MARET 2022
ipang,Positif,psti seru ni klo indonesia ikut piala dunia pendukung nya psti se indonesia
Ipat Ipat,Positif,"Stadion kebanggaan warga jakarta, keren banget. Terimakasih pak gurbenur anies baswedan."
Iqbal,Negatif,tapi gak ada VAR nya wkwkw
Iqbal Fikri,Positif,bagus sekali pembangun stadion oleh bpk Anies
Iqbal Igos Channel,Negatif,Pengen nonton  disini bareng pacar
iqbalrizkipernanda,Negatif,WKWKW NGEHE BUKAN BUAT BOLA
iqyrnlbs,Positif,"-anis/ganjar
klo pak anis pembangunanya mantap bgt
kalo pak ganjar sosialnya patut dicontoh bgt taun dpn gw 17 first time nyoblos"
ir,Negatif,tpi tidak standar PSSI
Ira Wan,Positif,"salah satu stadion termegah di dunia dan di sejajarkan dengan santiago bernebeu real madrid, terima kasih pemprov DKi Jakarta dan juga bapak gubernur Anies Baswedan...."
irasarah2006,Positif,"Sudah puas pas nnton konser gratisnya dewa ft vhirza, ungu, st12,mahalini dll"
irf pro,Positif,Alhamdulillah. Stadion terbaik sih di Asia tenggara. Cuman sekarang harus lebih di rapihkan lagi area sekitar JIS. Supaya lebih indah
irfal_saputra,Positif,"Gua, saranin buat Persija kalo pildun dah kelar mending pale GBK aja dah, gak usah pake jis, meskipun akses dah bagus nantinya"
irfan,Positif,keren bgttt masyallah
irfan affandi,Positif,Bagus....tapi masih sepi.
Irfan Julianto,Positif,Waw keren banget stadium JIS
Irfan Novyantoro,Positif,Untuk Timnas P$$I &  Pemprov Jakarta
Irfan Nur Faizi,Positif,Mantap lagi kalo boleh di pake main timnas
irham.andry,Positif,Pokoknya apapun sebagus dan sebaik apapun klo pemerintah adalah lawan politik ya jgn berharap. Yang punya kuasa tertinggi yang menang
Irma Vania Rahma,Positif,JIS nya mah bagus. udah terintegerasi sama TJ juga. cuman untuk jalanannya masih kureng. masih dibangun juga sih. semoga cepet kelar
Irman Syah Jelavic,Positif,keren pak anies
Irpan_doank2,Positif,serasa alianz mntp
irsa 09,Positif,"Besar ,megah,,,, pengen ke jis lagi kalau ada event , Congrat...."
Irsyadul Fikri,Positif,Stadion ya mah bagus tapi sayang nya masi jarang jadi kandang nya persija
Irsyadul Fikri,Positif,Stadion ya mah bagus tapi sayang nya masi jarang jadi kandang nya
Irvan Abdul Halim,Positif,Memang BPK Anis siap jadi RI 1
irwan saputra,Positif,Mantab mewah artistik
irwan setiawan,Negatif,Bisa Masuk Kalau ada acara..tutup jam 7 malam.
Isam Ismaya,Positif,"Karya anak bangsa, mantap"
Ishak Pramono,Negatif,Hanya lewat
ismail,Negatif,"pray for kanjuruan 01 OKTOBER 2022
Do'a terbaik buat para korban"
Ismail Transfoter,Positif,Spektakuler Megah Lapangannya....👍👍👍
Ismiyanto Anto,Positif,Hadiah nyata bwt persija dan warga jakarta..Anis is the best..Smg 2024 RI 1.🤲🤲🤲
Ismiyanto Anto,Positif,Hadiah nyata bwt  dan warga jakarta..Anis is the best..Smg 2024 RI 1.🤲🤲🤲
Isna Khoirunnisa,Positif,"udah bagus stadionnya, jangan pake kamera ecek ecek kek indosiar"
Isnurdi Fernanda,Positif,"bagus sih
tapi para penonton nya agak ragu wkkw"
Isra Adhikusuma,Positif,Kerennnn
Istianah Rahmawati,Positif,Kesini waktu konser Jisphoria kmren 1 oktober 👍
Ita Harits,Positif,Punya stadion berskala internasional di jakarta pula.. Terima kasih pak anis. Luar biasa.
ITO,Positif,kwren indo
itorngerog,Positif,"Stadion udah bagus, semoga kekurangan yg lain bisa di perbaiki"
It's Me Renzz,Negatif,JIS punya bapak gua😅
itsmebeiii,Negatif,"nntn konser kgk, mnta tiket g d ksi, cmn ke bagian nyapuin sampah nya doang udh ky d bom"
Ivan Clover,Positif,Bagus. Keren
ivan_setyagunawan,Negatif,"Stadion trilyunan rupiah cuma buat konser sama shalat jamaah ?? 😂😂😂😂 fungsi stadion bola ga berguna ?? Emang siy  kadang kadang 😂😂😂😂, padahal biaya pembangunan nya dari pemerintah pusat  , gini koq mau jadi presiden indonesia, yg asa berantakan indonesia 😂😂"
ivanme92,Positif,Insyaallah ga ada hujatan
ivo alpharian,Positif,Trimakasih Pak AHOK🥰🥰🥰
Iwan Damanik,Positif,View stadion dgn sudut foto diambil dari tol
Iwan D'sign,Positif,"Mantap pak Anis,Bagus dan Rapih"
Iwan Global Hermawan,Negatif,nanti coolpad di sini ya?
Iwan Satria,Positif,Keren
iwan.iskandar,Positif,Tiket harga brp ya
iwang jie,Positif,"Mantap anak Jakarta SM Betawi yg menikmati dananya dari mana bosq.. dr Sulawesi dengan nikel nya Papua dengan emasnya, sumatera dengan minyak nya kami semua dapat ampas nya"
Iwank Sas,Positif,Megah. Tapi sayang ko petugas kebersihan toiletnya ngga ada. Jadi keluatan kotr deh
iwanpalon,Positif,stadion mangkrak😂😂
iwanridwan85,Positif,"INDAHNYA STADION BUATAN PAK ANIES ,,KAYA DI WEMBLE  MANTAP KONSER DISTADION 👌😍"
iya,Positif,"itu janji nya pak Anies ketika menjadi gubernur DKI Jakarta ,dan dia menepati janji nya🥰"
iya in aja deh,Positif,ada rumah gw tu keliatan🗿
iyankachmad,Positif,bagus buat pajangan + konser musik....... no parkiran
iyus fairus,Positif,Tempatnya sangat....sangat bagus...
Izaz Farandy,Positif,Datang kesini saat konser Dewa 19. Secara bangunan JIS sangat mengakomodasi. Tapi akses diluar stadion sangat buruk. Ruas jalan yang sempit serta gaada akses pejalan kaki. Bagus jadi venue tapi fasilitas pendukungnya belum memungkinkan mengakomodasi acara untuk ribuan orang
J A Y 🎗,Positif,ayolah pakek ini buat timnas
J_CH Boss,Positif,"aku yg tiap minggu lewat, kok gk seestetik videonya ya😂😅"
Jägerzㅤ,Positif,tapi knp ga dipilih buat U20 Indonesia sih?
Jabrig Santuy,Positif,Karya warga Indonesia loh
Jade Stone,Positif,"Masih baru, besar sekali, parkir mobil di basement, parkir motor diluar area. Bagus sekali. Kebetulan Deket rmh."
Jafar Ali,Positif,Mantap
JagoanNeon,Negatif,percuma bukan standar pssi standar pssi harus becek dan banjir
jagol20,Negatif,"Teman2 kalo mau parkir tuker tiket, motor ga boleh masuk parkir kedalem kata petugas depan pintu masuk, disuruh parkir kesebelah bayar 10 rb."
Jai2060LC Jai2060LC,Negatif,Gula2 politikus..sekadar indah khbar dari rupa ...
Jaja Jojo,Negatif,"kata ketua pssi jis tidak standar fifa begitu megah jis , mungkin ketua pssi dan pemerintah gagal paham"
jajan ku,Positif,Trimakasih atas jasa nya para tukang dn kuli indonesia 😌🥰
Jajang Nurjaman,Positif,Ampir tiap off kerja sepedaan kesini
Jaka Prima,Positif,Stadion kelas dunia
JAKARTA FOOTBALL ENTHUSIAST,Negatif,"plis ada var , kamera drown , kualitas Indosiar meningkat!"
Jakarta vs everbody,Negatif,kapan jadi kandang Persija
Jalan Jalan Channel,Positif,Semoga jalannya cepat diaspal yang rata dan ditanam pohon agar lebih hijau dan rindang
jamal lullail,Positif,"Best lah pokok nya,mantaaap"
Jamal Udin,Positif,Bangga punya jis d utara
Jamaludin Fadilah,Positif,pengen lihat timnas Indonesia maen di situ
james medison,Positif,Mantap
jamhari Jams,Positif,Mantap dah pokonya
Jancok Kon61,Positif,dijaga jangan dirusak YGY
jarkasih69twentyten,Positif,Alhamdulillah ada yang nyewa
jasonhau,Positif,jis jkrta mn y
jassen only,Positif,sebuah stadium bertaraf internasional terletak di sebelah utara jakarta dan berkapasitas kurang lebih 80k penonton dan sedang dalam pembabgunan 95%
Jassmin@6,Positif,saya orang jawa barat....bangga dengan pa anies bisa tepati janji nya Allahuakbar...
jatibarutenabang,Positif,Bung  dan bung  ini boleh  kapan main di
Javar,Positif,"Berkat Rakyat bisa bangun Stadion semegah ini , camkan itu"
jay,Positif,stadion sebagus kayak gini dibangun buat apa kalo g kepake🤔
Jay Zulkarnain,Negatif,tidak standar konser BlackPink
Jaya Maulana,Positif,Kereeeen
Jaya Saputra,Positif,Bagus bgd sumpah cuma fasilitas parkirnya aja yg kurang
jayaselalu3shop,Positif,karya ahok jokowi nih bos😁
Jaymi Majid,Positif,Tempatnya bagus disamping stadionnya ada danau yang bisa jadi tempat foto
jeany Pangestu,Positif,"Di jis itu pemandangannya indah, atapnya bisa dibuka tutup. Toiletnya ada di tiap lantai, ada mushola jg.kalau ada konser musik, lighting nya bagus, audionya juga. Keren deh"
jeehanadiabimala,Negatif,kpn timnas main disitu pak ketua pssi???
jeffry Stm,Positif,Bagus
Jefri Puspiana,Positif,"Stadium bertaraf internasional,sangat megah dan indah"
jefry putra tanjung,Positif,Stadion bertaraf internasional yang megah dan sangat bagus
Jefryrmz_,Negatif,Stadion Elit Pemain Sulit 🗿
jenderal babayo😎🤙,Negatif,semoga piala dunia u-20 nanti main nya disini
jendeukk,Negatif,ini yang di Pademangan bukan si
jeniusdesign,Negatif,stadion korban politic
Jeprinikol666,Negatif,"JIS gada lawan, kelazzz"
jeremiacristian66,Negatif,KL dipake pertandingan...penonton bs pulang pagi...jln sempit dan parkiran kurang😂😂😂😂
jeruknipis20_,Negatif,Seharusnya bikin panggung konser bukan bikin stadion
jessiealvinleiwakabessy,Negatif,Konser Terpanjang Pertama Di Stadion JIS....yang datang berasa nonton Metallica campur BTS
Jessika Henuhili,Negatif,"Stadion gede, jangan lupa bikin parkiran yg gede juga dong. Jangan sampe nantinya pengunjung susah utk parkir mobil&motor. Bikin gedung parkir sekalian yg gede."
Jeundeuk,Negatif,Blackpink akan konser di sana 🥺
Jidon Vlog,Positif,Mantaaap stadion nya
jigoriski_____________________,Negatif,Mau cari alasan apalagi sekarang PSSI dan komplotan2 politik tertentu? Sulit untuk dibantah jika JIS jarang dipakai karena berpangkal dr urusan politik yg didunga bersumber dr Kedengkian akibat kalah pilkada di 2017😂😂
jihan,Negatif,dijagaa jgn sampe ada yg ngerusak fasilitas
Jimin Thea,Positif,"Setadion kelas dunia, kereeeennn"
Jimmy Yohanes,Positif,"Semoga akan menjadi ikon,  kebanggaan Jakarta dan Indonesia"
JINGGA008,Negatif,"di JIS parkirny kecil, supaya penonton pergi nonton,d anjurkan naik tranportasi umum dr rumah 😊, biar GK ada isiden macet,spion ilang d parkiran 😂"
jino,Positif,"next klo main buat stadion megah, lebih luas lagi ya pak lahannya 😁"
jktns30,Negatif,"Ancur banget JIS akses nya, pantes Persija ga di rekomendasikan main di JIS"
Joddi Indriyanto,Negatif,tp sayang katanya tidak standar fifa tau ga
Joe Supriyanto,Positif,keren banget JIS
Joemillaa,Positif,Kasih bintang 4 dulu ya belum jadi tapi mewah banget
Johan Kiskendo,Negatif,Stadion yg tdk masuk standar FIFA...U20 gagal pentas di JISTembok pembatas tribun roboh...Cuma cocok buat pentas musik...
Johari Nurdin,Positif,"Alangkah bagus jika di setiap tingkat tribun full light sponsor,pasti lebih bagus kek di Eropa"
johni_bone,Negatif,Kalo pakai grab/gocar drop disana bisa?
johny deep,Positif,ni stadion cuma di pake cinematik doang😂
Join Tarigan,Positif,"Luar biasa keren, stadion kelas dunia😍👍✊"
jojo,Positif,kebanggaan
Joko mulyono,Negatif,KeJIS tgl 5-5-2022 knp masih tutup ya??
joko purnomo,Positif,Alhamdulillah bisa ikut sholat ied di JIS
Joko Santoso,Negatif,Akses menuju stadion masih sangat minim fasilitas. Transportasi publik belum banyak yang menuju ke stadion. Fasilitas parkir kendaraan pribadi juga tidak banyak disediakan. Namun stadion ini tetap baik dari segi arsitektur. Sirkulasi udara di dalam stadion sangat bagus.
joko seno,Positif,Gue sdh keliling berbagai stadion diindonesia... Cuma JIS yg baru lihat dari luar sudah bikin baangga..
joksasik11,Negatif,andaikan pake rumput hybrid fix sih stadion kelas Eropa
Joni Cockroach,Negatif,timnas cuma mau main di santiago pakansari 🗿
Jose Franklin,Negatif,Jalan kecil kaga bisa keluar. Tampilan doang bagus
Jose Ikhsanudin,Negatif,Belum sempurna
Jospt,Positif,"Ikon barunya jakarta, stadion yang megah, modern dan canggih diIndonesia. lokasinya juga terintegrasi dengan angkutan atau transportasi umum, dan jalan tol."
Joule,Negatif,kalau di Jabar pasti standar fifa
Juan Saputra,Positif,Semangat untuk mencari nafkah untuk keluarga
Juicy ell.,Positif,"Ide pembangunan std baru ini dicetuskan Joko Widodo saat msh menjdi Gubernur Jakarta, pada November 2012.pak anis banggakan stadion jis dibiayai pajak"
juju,Positif,keren iyaaa tapi ngk pernah di pakai timnas buat apaan
jujujuju,Negatif,Yok lah bisa Persija beberapa tahun kedepan bisa masuk ACL itupun kalo niat wkwkwkwk
Julian Adhy,Negatif,"Stadion kelas internasional ✌✌✌ GBK sdh outdated, bangga bingits akhirnya Indonesia punya juga"
Julian Al farid,Positif,Keren stadion
Julian Shanandian,Positif,Stadion keren dan megah.. Kebanggaan warga Jakarta setelah GBK😎😎😎
Julius Johan,Negatif,kasihan tanah orang jadi stadion sekarang
Julius Sitorus,Negatif,kpn jadwal konser nya lg...????? 😁😁😁
jume,Positif,keren
jumran,Positif,teryata inonesia punya standion yg keren
JuNaidi,Positif,"keren,,,karya pak anis👍"
junas Ahmad,Positif,Stadiun keren di utara jakarta berstandart FIFA... Dengan atap yg bisa ditutup bisa utk pertandingan segala cuaca.  Dari luar pun terlihat megah
Junda_rizi,Positif,Yang potong pita yg meresmikan nanti JOKOWI😂😂😂...Trs nanti sebelah ..meng agung agung kan seolah mereka yg berkarya...Best buat pak Anies
Jupray Ex CaNNaRies,Positif,Stadion BMW
Jusfran Ade,Positif,"stadion nya baguss ,lebih bagus lagi pakai rumput hybrid,biar gak gampang rusak ,dan mudah pelihara nya ,wlpun sedikit lebih mahal"
Just Walking Jakarta - Fian,Positif,Jalan di depan akan macet dan Crowded jika ada event
JUXY,Positif,stadion gede nanti tenggelam juga
JUXZ GAMING,Negatif,Rumput nya kurang hijau gan
K3nzzi Smith,Positif,kereeen bngett....
Kadarso,Positif,Semoga menjadi sejarah positif untuk generasi yang akan datang
KADRUN KOPLAK,Positif,"Stadion JIS tidak memenuhi standart FIFA, sampai saat ini belum dipake utk ivent2 nasional/internasional. hanya digunakan utk istighotsah FPI & lomba burung perkutut"
Kaisha Ayudya,Positif,"kesana karena ada undangan dari kampus untuk kunjungan industri. baru kali ini masuk ke dalam stadion sampai lihat lapangannya. bagi aku yg awam bagus bgt stadionnya. diatas ada semacam skywalk (?), lumayan panjang, dari atas bisa lihat pemandangan sekitar ancol."
kaiwashere,Positif,pas awal kirain Alianz Arena nya Bayern
Kaka Bejo,Positif,Stadion yang dibangun di daerah jakarta utara yang berkelas dan berstandar fifa.Mungkin yg agak sedikit menjadi pertimbangan untuk biaya sewa lapangannya. Semoga saja bisa diturunkan dan akan menjadi tempat buat bibit sepak bola indonesia
KakiBajalang,Positif,Pertanyaanku kenapa gak pas 8000 kursi aja kenapa ada lebih 2 🤣
kaktus_ijo,Positif,"info donk, total pekerja yg ngebangunin ini ada berapa orang ya? keren banget hasilnya, semoga segera selesai 😊"
Kamal paser Indramayu,Positif,Tempatnya megah sekali
Kamalludin Karnain,Positif,Stadion bertaraf internasional yang bikin bangga warga Jakarta...👍👍👍
Kamaluddin,Positif,"So cool, karna baru jd msh ok  Semoga maintenance dan di rawat dengan baik"
Kamsin Kimchi,Positif,Keren banget stadionnya
kanaya lahardo,Positif,Tempatnya sangat bagus. Semoga pengunjung menjaga semua fasilitas dgn baik
Kandae,Negatif,"Bukan standar pssi, kalau standar pssi pakansari biar sambil berenang"
Kang Dahri,Positif,"Stadion megah di pesisir Jakarta. Semoga segera di gunakan untuk event olah raga. Semoga akses exit penonton keluar, terutama ke timur, segera di resmikan"
kang Mus,Negatif,jalak harupat pusing
KANGBALL,Negatif,Tinggal Kamera Nya Aj sih Nanti 😂
kangsantuy4656,Positif,stadion kebanggaan persija stadion jis😅😅😅😅😅😅😅
Kanza Cordelia,Negatif,kok.bisa ya gak masuk.standar fifa.
kanza_al_mujtabaa,Negatif,tapi kok g terpilih jadi stadiun. untuk acara piala Dunia U21 ya
Kapal capung,Positif,"Meski masih proyek dan belum boleh masuk ,yang penting udh happy aja Jakarta punya stadion yg sudah kelihatan luarbiasa."
Kapege Official,Positif,terima kasih pak jokowi...berkat dana pen nya..stadionnya terealisasi...
kapuyuak,Positif,memang cocoknya hanya jadi tempat ibadah sholat id.
Kareba News,Positif,kerren
karisha_1421,Negatif,Stadion jis bukan buat gelaran sepak bola. Stadion jis cocok nya buat acara konser acara pernikahan gk pantas buat suporter Indonesia yng bisa nya ngerusak
Karnan Karnaen,Negatif,"Lagi ada perbaikan jalan, di sekitar JIS nya,jadi banyak debu,dan batu2 yg kecil kecil,harap hati2 yg melintasinya terutama sepeda motor."
Karta Karta,Positif,Keren banget
Kartika Abdurrahman,Positif,pak jokowi mantap..indonesia maju berkat pak jokowi🥰🥰🥰🥰
kartika sticker,Positif,rakyat udah pada tau klo yg kerja pak jokowi😂😂😂😂
kartika sticker,Negatif,PEMBANGUNAN YANG SIA2 SAJA... TDK BERGUNA UTK WARGA SEKITARNYA
kawaguchi,Positif,"Jakarta International Stadium (JIS), meriupakan fasilitas olahraga yang baru dibangun di Jakarta."
Kawi Boedisetio,Negatif,Sayang nya timnas indonesia belum bisa tampil di stadion ini😔
K🇴R🇸L🇪T,Positif,Exited sekali... Semoga dengan adanya JIS makin banyak event internasional yg di adakan di Indonesia.
KEBAB FARIZ,Positif,semoga pertandingan Indonesia di thn 2023 FiFA di stadiun Jakarta ( jis)🥰
Kelvin,Positif,"kalau udah selesaii ni stadio nya kalau Indonesia lolos final..
cocok ini lapangan nya buat Indonesia final piala AFF ini😁😁"
kelvinconney,Negatif,tda termasuk standar fifa
